transaction_id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors,date_only
19765990,2017-07-07 09:53:00,1581,2519,12.35,Chip Transaction,20519,Arnold,MO,63010,5942,,2017-07-07
22160255,2018-11-26 17:44:00,1862,4049,58.29,Chip Transaction,98648,Des Moines,IA,50313,5814,,2018-11-26
17566794,2016-03-26 12:42:00,1967,3367,11.03,Chip Transaction,46978,Lake Forest,CA,92630,5411,,2016-03-26
17318690,2016-02-01 08:30:00,921,3457,85.74,Chip Transaction,63701,Rush,NY,14543,5411,,2016-02-01
20994060,2018-03-24 14:42:00,456,2800,13.43,Chip Transaction,83271,Estero,FL,33928,4214,,2018-03-24
20501200,2017-12-09 22:26:00,0,4639,53.12,Chip Transaction,14040,Morgan,VT,5853,5813,,2017-12-09
18454176,2016-10-01 21:40:00,408,4960,52.86,Chip Transaction,75781,Cable,WI,54821,5411,,2016-10-01
21998064,2018-10-23 12:50:00,1432,4929,35.33,Swipe Transaction,59292,Lake Hopatcong,NJ,7849,5813,,2018-10-23
18977227,2017-01-21 09:30:00,177,2681,188.77,Chip Transaction,86616,Memphis,TN,38104,4814,,2017-01-21
17244867,2016-01-16 13:40:00,1895,1090,27.4,Chip Transaction,68436,Barnegat,NJ,8005,4121,,2016-01-16
17266754,2016-01-21 06:30:00,846,3443,4.43,Chip Transaction,18511,Omaha,NE,68136,7542,,2016-01-21
20085114,2017-09-12 20:08:00,1904,1004,54.0,Chip Transaction,59935,Mcalester,OK,74501,5499,,2017-09-12
20446347,2017-11-28 11:58:00,696,39,100.41,Chip Transaction,66278,Cabo San Lucas,Mexico,,5310,,2017-11-28
20741827,2018-01-29 22:37:00,1439,6094,31.98,Chip Transaction,21072,Mosheim,TN,37818,5912,,2018-01-29
19788807,2017-07-12 08:07:00,762,1080,63.54,Online Transaction,39021,ONLINE,,,4784,,2017-07-12
17292719,2016-01-26 15:30:00,1358,3426,26.96,Online Transaction,9932,ONLINE,,,5311,,2016-01-26
18123493,2016-07-23 09:09:00,386,3673,4.65,Chip Transaction,7237,Framingham,MA,1702,5812,,2016-07-23
18406261,2016-09-21 13:34:00,51,6031,60.3,Chip Transaction,37861,Hendersonville,TN,37075,7230,,2016-09-21
20465851,2017-12-02 12:41:00,1727,5982,-60.0,Swipe Transaction,61195,Columbia,SC,29229,5541,,2017-12-02
